symbol,date,open,high,low,close,volume,change,changePercent,vwap
GOOGL,2025-04-24,156.15,159.59,155.79,159.28,45894000,3.13,2.0,157.7025
GOOGL,2025-04-23,155.61,157.53,153.81,155.35,31128833,-0.26,-0.16708,155.575
GOOGL,2025-04-22,148.89,152.19,148.54,151.47,26971800,2.58,1.73,150.2725
GOOGL,2025-04-21,148.88,148.95,146.1,147.67,26049115,-1.21,-0.81274,147.9
GOOGL,2025-04-17,154.29,154.68,148.5,151.16,33046600,-3.13,-2.03,152.1575
GOOGL,2025-04-16,153.1,155.89,151.51,153.33,28187421,0.23,0.15023,153.4575
GOOGL,2025-04-15,159.13,159.65,155.21,156.31,27551534,-2.81,-1.77,157.575
GOOGL,2025-04-14,160.0,161.72,157.56,159.07,30333000,-0.925,-0.58125,159.5875
GOOGL,2025-04-11,152.9,157.67,152.82,157.14,33636239,4.24,2.77,155.1325
GOOGL,2025-04-10,156.54,157.72,149.93,152.82,48022000,-3.72,-2.38,154.2525
GOOGL,2025-04-09,144.42,159.55,143.91,158.71,70406232,14.3,9.89,151.6475
GOOGL,2025-04-08,151.22,152.24,143.03,144.7,52200208,-6.52,-4.31,147.7975
GOOGL,2025-04-07,141.55,152.85,140.53,146.75,76794136,5.2,3.67,145.42
GOOGL,2025-04-04,148.01,151.07,145.38,145.6,62259539,-2.41,-1.63,147.515
GOOGL,2025-04-03,151.11,152.78,150.39,150.72,46883400,-0.39,-0.25809,151.25
GOOGL,2025-04-02,155.15,158.41,154.7,157.04,25041730,1.89,1.22,156.325
GOOGL,2025-04-01,153.62,158.1,153.62,157.07,30672900,3.45,2.25,155.6025
GOOGL,2025-03-31,153.11,155.54,150.66,154.64,54603500,1.53,0.99928,153.4875
GOOGL,2025-03-28,160.49,161.82,153.63,154.33,48669335,-6.16,-3.84,157.5675
GOOGL,2025-03-27,164.63,165.42,162.0,162.24,24508300,-2.39,-1.45,163.5725
GOOGL,2025-03-26,169.0,169.61,164.84,165.06,28939326,-3.94,-2.33,167.1275
GOOGL,2025-03-25,168.98,170.63,168.32,170.56,24174400,1.58,0.93502,169.6225
GOOGL,2025-03-24,167.07,168.32,165.14,167.68,30879129,0.615,0.36512,167.0525
GOOGL,2025-03-21,161.21,164.24,160.89,163.99,36625800,2.78,1.72,162.5825
GOOGL,2025-03-20,161.57,164.89,160.96,162.8,28138500,1.23,0.76128,162.555
GOOGL,2025-03-19,161.76,165.87,161.0,163.89,34275600,2.13,1.32,163.13
GOOGL,2025-03-18,163.68,164.25,156.72,160.67,42074800,-3.01,-1.84,161.33
GOOGL,2025-03-17,165.03,166.3,163.67,164.29,31184335,-0.74,-0.4484,164.8225
GOOGL,2025-03-14,163.27,166.49,162.45,165.49,31995900,2.22,1.36,164.425
GOOGL,2025-03-13,166.04,166.13,162.11,162.76,31756214,-3.28,-1.98,164.26
GOOGL,2025-03-12,166.58,167.64,163.53,167.11,28372400,0.53,0.31817,166.215
GOOGL,2025-03-11,164.91,166.75,161.37,164.04,39587414,-0.87,-0.52756,164.2675
GOOGL,2025-03-10,168.26,168.46,163.69,165.87,43604027,-2.39,-1.42,166.57
